                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.74048,                0.68729,                  1.138,                0.89642,                0.75108,                0.82376,                0.64709,                0.87319,                0.99208,                 1.3569,              0.0010612,              0.0010612,              0.0010612
                     54,                0.71746,                0.66026,                 1.1384,                0.75727,                0.68831,                0.76031,                0.60157,                0.99003,                 1.1752,                  1.424,              0.0010541,              0.0010541,              0.0010541
                     55,                0.69783,                0.66264,                 1.0969,                0.84599,                0.66858,                0.74692,                0.60375,                0.95686,                 1.2287,                 1.4255,               0.001047,               0.001047,               0.001047
                     56,                0.77603,                0.65948,                 1.1278,                 0.7666,                0.69655,                0.72563,                 0.5449,                 1.0844,                 1.2905,                  1.521,                0.00104,                0.00104,                0.00104
                     57,                0.72423,                0.64903,                  1.122,                0.80268,                0.75946,                0.78015,                 0.5998,                0.95059,                 1.1579,                 1.3945,              0.0010329,              0.0010329,              0.0010329
                     58,                0.75064,                0.65508,                 1.1114,                0.76682,                0.72642,                0.79384,                0.60804,                0.98574,                 1.0695,                 1.3948,              0.0010258,              0.0010258,              0.0010258
                     59,                0.73823,                0.63193,                 1.1276,                0.92128,                 0.6524,                0.76927,                0.62083,                0.95717,                 1.1309,                 1.3965,              0.0010187,              0.0010187,              0.0010187
                     60,                0.73077,                0.67701,                 1.1346,                 0.8737,                0.72471,                0.77355,                0.60642,                0.93764,                 1.0693,                 1.3923,              0.0010117,              0.0010117,              0.0010117
                     61,                0.76119,                0.66972,                 1.1447,                0.83207,                0.65496,                0.74922,                0.59982,                0.99206,                 1.1531,                 1.4625,              0.0010046,              0.0010046,              0.0010046
                     62,                 0.7312,                0.65194,                 1.1362,                  0.804,                0.66012,                0.75508,                0.58253,                 1.0023,                 1.2093,                 1.5051,             0.00099751,             0.00099751,             0.00099751
                     63,                0.71478,                0.62872,                 1.1126,                0.77609,                0.70529,                0.79209,                0.61949,                0.95205,                  1.056,                 1.3923,             0.00099044,             0.00099044,             0.00099044
                     64,                 0.6802,                0.57106,                 1.1101,                0.81545,                0.77438,                0.81686,                0.63834,                0.92692,                 1.0501,                 1.3755,             0.00098337,             0.00098337,             0.00098337
                     65,                0.70224,                 0.6203,                 1.1079,                0.78921,                0.76097,                0.80805,                  0.622,                0.96284,                0.94085,                 1.4243,             0.00097629,             0.00097629,             0.00097629
                     66,                0.70031,                0.61621,                 1.0996,                0.83716,                0.72398,                 0.7895,                0.62568,                 0.8917,                 1.0922,                 1.3698,             0.00096922,             0.00096922,             0.00096922
                     67,                0.68867,                0.59401,                 1.1058,                0.91401,                0.70471,                0.80356,                0.63383,                0.92237,                 1.0186,                 1.3822,             0.00096215,             0.00096215,             0.00096215
                     68,                0.71073,                0.57784,                 1.0976,                0.84394,                0.67787,                0.77699,                0.62386,                0.96415,                 1.1198,                 1.4389,             0.00095507,             0.00095507,             0.00095507
                     69,                0.72677,                0.62675,                 1.1212,                0.86761,                0.72546,                0.80012,                0.64576,                0.87873,                0.99274,                 1.2799,               0.000948,               0.000948,               0.000948
                     70,                  0.726,                0.61731,                 1.1105,                0.87477,                0.75185,                 0.8063,                0.66445,                  0.891,                 1.0345,                 1.3349,             0.00094093,             0.00094093,             0.00094093
                     71,                0.70783,                0.61682,                 1.1192,                0.83628,                0.74021,                0.80557,                0.64835,                0.92462,                0.98213,                 1.3447,             0.00093385,             0.00093385,             0.00093385
                     72,                 0.6535,                0.56755,                 1.0761,                0.83978,                0.76116,                0.80692,                0.64595,                 0.9047,                0.93327,                 1.3677,             0.00092678,             0.00092678,             0.00092678
                     73,                0.64754,                 0.5809,                 1.0816,                0.82112,                0.72714,                0.78174,                0.63678,                0.90124,                 1.0115,                 1.3739,              0.0009197,              0.0009197,              0.0009197
                     74,                 0.6932,                0.58767,                 1.0843,                0.82282,                0.71511,                0.76327,                0.61415,                0.98596,                 1.1881,                 1.4508,             0.00091263,             0.00091263,             0.00091263
                     75,                0.66338,                0.57361,                 1.0901,                0.84766,                0.69855,                0.75044,                0.61146,                 0.9663,                   1.18,                 1.4559,             0.00090556,             0.00090556,             0.00090556
                     76,                  0.652,                0.53909,                 1.0633,                0.84359,                 0.7099,                0.77028,                0.61854,                 0.9942,                 1.1443,                 1.4736,             0.00089848,             0.00089848,             0.00089848
                     77,                0.68154,                0.59249,                 1.0799,                0.71111,                0.71514,                0.74132,                0.59251,                0.93948,                 1.1318,                 1.3964,             0.00089141,             0.00089141,             0.00089141
                     78,                0.68842,                0.57942,                 1.0772,                0.86948,                0.71105,                0.76925,                0.61059,                0.96744,                 1.1048,                 1.4027,             0.00088434,             0.00088434,             0.00088434
                     79,                 0.6788,                0.55552,                 1.0905,                0.87319,                0.69482,                0.78294,                0.63008,                0.91417,                0.99736,                 1.3686,             0.00087726,             0.00087726,             0.00087726
                     80,                0.70219,                0.57675,                  1.103,                0.82948,                0.69152,                0.75676,                0.60798,                0.99936,                 1.2345,                 1.4903,             0.00087019,             0.00087019,             0.00087019
                     81,                0.66407,                0.56077,                 1.0781,                0.80257,                0.66601,                0.73269,                0.58461,                 1.0134,                 1.1891,                 1.5187,             0.00086312,             0.00086312,             0.00086312
                     82,                0.66215,                0.55009,                 1.0876,                0.77961,                0.75719,                0.79217,                 0.6227,                0.94738,                 1.0105,                 1.4134,             0.00085604,             0.00085604,             0.00085604
                     83,                0.62886,                 0.5316,                 1.0744,                0.84893,                0.70467,                0.79165,                0.64585,                0.89268,                 1.0511,                 1.3466,             0.00084897,             0.00084897,             0.00084897
                     84,                0.67337,                0.55341,                 1.0782,                0.85454,                0.76467,                0.82018,                0.66422,                0.86122,                0.87712,                 1.2778,              0.0008419,              0.0008419,              0.0008419
                     85,                  0.677,                0.54767,                 1.0841,                 0.7997,                0.82307,                0.82449,                0.66376,                 0.8618,                0.84544,                 1.3134,             0.00083482,             0.00083482,             0.00083482
                     86,                0.67636,                0.54493,                 1.0732,                0.85014,                 0.6938,                0.77351,                0.62195,                0.92184,                 1.0382,                 1.3922,             0.00082775,             0.00082775,             0.00082775
                     87,                0.64705,                0.51855,                 1.0733,                0.88509,                0.74984,                0.80514,                0.62868,                0.97588,                 1.0097,                 1.4428,             0.00082067,             0.00082067,             0.00082067
